"Accounts","Customer reference","Shipment number","Status","Delivery due date","ETA","Number of parcels","Weight","Product","Service","Dispatch date","Business/Recipient name","Contact number","Postal Code"
"F090406","BFB LEAFLETS D21","60120256447094","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT CHELTENHAM","01827 280880","GL51 9RR"
"F090406","BFB LEAFLETS D21","60120256447168","Delivered","","","5","3","Parcels","Next day","21/08/2026","M&P M&S BLUEWATER","01827 280880","DA9 9SD"
"F090406","BFB LEAFLETS D21","60120256445901","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT PLYMOUTH","01827 280880","PL1 1EA"
"F090406","BFB LEAFLETS D21","60120256445904","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT POOLE","01827 280880","BH12 1DN"
"F090406","BFB LEAFLETS D21","60120256445871","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT EXETER","01827 280880","EX4 1AH"
"F090406","BFB LEAFLETS D21","60120256445925","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT TAMWORTH","01827 280880","B78 3JD"
"F090406","BFB LEAFLETS D21","60120256445955","Delivered","","","5","3","Parcels","Next day","21/08/2026","M&P M&S YORK","01827 280880","YO32 9AE"
"F090406","BFB LEAFLETS D21","60120256445882","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT LEICESTER","01827 280880","LE1 4SA"
"F090406","BFB LEAFLETS D21","60120256445891","In transit","24/08/2026","08:00 - 20:00","3","3","Parcels","Next day","21/08/2026","M&P NEXT MILTON KEYNES","01827 280880","MK13 8PU"
"F090406","BFB LEAFLETS D21","60120256445811","Delivered","","","8","3","Parcels","Next day","21/08/2026","M&P LEEDS","01827 280880","WF17 9DT"
"F090406","BFB LEAFLETS D21","60120256445836","Delivered","","","8","3","Parcels","Next day","21/08/2026","M&P STOCKTON","01827 280880","TS17 7BT"
"F090406","BFB LEAFLETS D21","60120256445916","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT SHOREHAM","01827 280880","BN43 6TE"
"F090406","BFB LEAFLETS D21","60120256445880","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT IPSWICH","01827 280880","IP5 3RX"
"F090406","BFB LEAFLETS D21","60120256445854","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT ARNDALE","01827 280880","M4 3AJ"
"F090406","BFB LEAFLETS D21","60120256447068","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT CHELSFORD","01827 280880","CM2 6XE"
"F090406","BFB LEAFLETS D21","60120256445786","Delivered","","","8","3","Parcels","Next day","21/08/2026","M&P EDINBURGH","01827 280880","EH15 3RH"
"F090406","BFB LEAFLETS D21","60120256445886","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT LUTON","01827 280880","LU1 3JH"
"F090406","BFB LEAFLETS D21","60120256445894","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT NORWICH","01827 280880","NR5 0JS"
"F090406","BFB LEAFLETS D21","60120256447157","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT SWANSEA","01827 280880","SA1 7BP"
"F090406","BFB LEAFLETS D21","60120256445861","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT BEDFORD","01827 280880","MK42 7AZ"
"F090406","BFB LEAFLETS D21","60120256445867","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT BRISTOL","01827 280880","BS34 5UL"
"F090406","BFB LEAFLETS D21","60120256445796","Delivered","","","8","3","Parcels","Next day","21/08/2026","M&P GATESHEAD","01827 280880","NE11 0BD"
"F090406","BFB LEAFLETS D21","60120256445818","Delivered","","","8","3","Parcels","Next day","21/08/2026","M&P LIVERPOOL SPEKE","01827 280880","L24 8QB"
"F090406","BFB LEAFLETS D21","60120256445893","Delivered","","","3","3","Parcels","Next day","21/08/2026","M&P NEXT NEW MALDEN","01827 280880","SW20 0JH"
